timestamp,step,epoch,loss,lr,tf_ratio,val_loss
2026-01-27T22:04:24.539101,500,0,8.275691081047059,8.734640537108555e-05,0.991018,7.214444828033447
2026-01-27T22:05:31.091559,1000,0,6.665536797523498,0.0001746928107421711,0.982018,6.695207262039185
2026-01-27T22:06:38.330725,1500,0,6.190539186477661,0.0002620392161132566,0.973018,6.331502294540405
2026-01-27T22:07:56.156527,2000,0,5.800339070320129,0.0003493856214843422,0.964018,5.931165027618408
2026-01-27T22:09:11.019685,2500,0,5.451099626541137,0.0004367320268554277,0.955018,5.401850748062134
2026-01-27T22:10:41.017985,3000,0,5.096878124237061,0.0005240784322265132,0.946018,4.964789724349975
2026-01-27T22:12:16.278879,3500,0,4.83586141872406,0.0006114248375975988,0.937018,4.6421441555023195
2026-01-27T22:13:43.815331,4000,0,4.638928297042846,0.0006987712429686843,0.928018,4.4105969905853275
2026-01-27T22:15:32.800634,4500,0,4.608898144721985,0.0006588078458684124,0.919018,4.333160066604615
2026-01-27T22:17:23.197041,5000,0,4.5164662342071535,0.000625,0.910018,4.217303276062012
2026-01-27T22:19:30.373765,5500,0,4.495887558460236,0.0005959141182784953,0.901018,4.038735103607178
2026-01-27T22:21:52.907191,6000,0,4.48314056634903,0.0005705443307345481,0.892018,3.9541656017303466
2026-01-27T22:24:23.981568,6500,0,4.441233394622802,0.0005481612620668933,0.883018,3.8908959150314333
2026-01-27T22:26:33.479674,7000,0,4.323146181583405,0.0005282214092053229,0.874018,3.823703956604004
2026-01-27T22:29:05.308738,7500,0,4.351393232345581,0.0005103103630798288,0.8650180000000001,3.773526120185852
2026-01-27T22:31:40.971834,8000,0,4.341205006122589,0.0004941058844013093,0.856018,3.769154596328735
2026-01-27T22:34:31.340208,8500,0,4.358459471225738,0.00047935311802960656,0.847018,3.749822187423706
2026-01-27T22:37:06.642506,9000,0,4.291826176643371,0.0004658474953124562,0.8380179999999999,3.7049673557281495
2026-01-27T22:39:48.999231,9500,0,4.29146028470993,0.0004534226563187573,0.829018,3.6581509828567507
2026-01-27T22:42:38.127084,10000,0,4.273784742355347,0.00044194173824159226,0.820018,3.592674160003662
2026-01-27T22:45:46.544422,10500,0,4.343003851890564,0.0004312909745889714,0.811018,3.6346970558166505
2026-01-27T22:49:22.389112,11000,0,4.397717288017273,0.0004213749140395263,0.802018,3.592481803894043
2026-01-27T22:52:48.151654,11500,0,4.347034538269043,0.0004121127958723669,0.793018,3.554254150390625
2026-01-27T22:56:06.283677,12000,0,4.308277058601379,0.00040343576522993926,0.784018,3.5465781450271607
2026-01-27T23:00:07.654015,12500,0,4.422985725402832,0.0003952847075210475,0.775018,3.59572811126709
2026-01-27T23:03:46.847800,13000,0,4.3277729496955875,0.0003876085455912765,0.766018,3.495840287208557
2026-01-27T23:07:46.688421,13500,0,4.412363078594208,0.0003803628871563654,0.757018,3.5618168592453
2026-01-27T23:11:36.360736,14000,0,4.350981852054596,0.00037350894041699806,0.7480180000000001,3.4729029178619384
